PLAYER_ID,PLAYER_NAME,TimeFrame,PTS,AST,REB
76706,Bill Fenley,career,2.6,0.5,
2724,Desmond Ferguson,career,1.9,0.1,0.6
1628390,Terrance Ferguson,career,4.5,0.7,1.3
201164,Rudy Fernandez,career,9.1,2.2,2.4
1628981,Bruno Fernando,2024-25,3.4,1.1,3.0
76707,Eric Fernsten,career,2.4,0.4,1.7
76708,Al Ferrari,career,6.8,2.5,2.2
76709,Rolando Ferreira,career,0.8,0.1,1.1
273,Duane Ferrell,career,6.4,0.9,1.9
1627812,Yogi Ferrell,career,7.7,2.3,2.1
76711,Arnie Ferrin,career,5.8,1.6,4.0
76712,Bob Ferry,career,9.1,1.4,5.3
198,Danny Ferry,career,7.0,1.3,2.8
201178,Kyrylo Fesenko,career,2.3,0.3,2.0
76713,Kenny Fields,career,6.2,1.0,2.5
202361,Landry Fields,career,6.8,1.6,4.3
76714,Ron Filipek,career,2.3,0.4,1.3
1642271,Kyle Filipowski,2024-25,9.6,1.9,6.1
76715,Greg Fillmore,career,2.4,0.4,2.2
76716,Hank Finkel,career,5.1,0.8,3.9
714,Michael Finley,career,15.7,2.9,4.4
76717,Danny Finn,career,7.3,4.0,3.9
1627827,Dorian Finney-Smith,2024-25,8.7,1.4,3.9
900,Matt Fish,career,3.5,0.5,2.2
965,Derek Fisher,career,8.3,3.0,2.1
2809,Gerald Fitch,career,4.7,1.8,1.7
1630238,Malik Fitts,career,1.3,0.3,1.1
76720,Bob Fitzgerald,career,3.1,0.6,
76719,Dick Fitzgerald,career,4.5,0.7,
2033,Marcus Fizer,career,9.6,1.2,4.6
1641745,Adam Flagler,2024-25,1.8,0.3,0.7
76721,Jerry Fleishman,career,5.8,1.6,4.6
76722,Al Fleming,career,2.0,0.4,1.5
76723,Ed Fleming,career,8.6,1.9,5.2
313,Vern Fleming,career,11.3,4.8,3.4
2784,Luis Flores,career,2.2,0.7,0.2
76725,Bruce Flowers,career,4.9,0.9,3.4
1642280,Trentyn Flowers,2024-25,1.8,0.0,0.7
76726,Sleepy Floyd,career,12.8,5.4,2.6
201938,Jonny Flynn,career,9.2,3.9,1.9
1630201,Malachi Flynn,2024-25,4.0,1.8,1.8
76727,Mike Flynn,career,6.2,2.2,2.1
76728,Larry Fogle,career,1.0,0.0,1.5
76729,Jack Foley,career,4.8,0.5,1.5
1829,Ike Fontaine,career,1.8,0.7,0.8
76731,Levi Fontaine,career,3.8,0.6,0.4
1631323,Simone Fontecchio,2024-25,5.9,0.9,2.9
202880,Jeff Foote,career,1.0,0.0,1.5
1627854,Bryn Forbes,career,8.8,1.2,1.7
201814,Gary Forbes,career,5.8,0.9,2.0
1630758,Aleem Ford,career,2.8,0.4,3.0
76732,Alphonso Ford,career,3.2,0.9,1.8
2228,Alton Ford,career,2.5,0.2,1.7
76733,Chris Ford,career,9.2,3.4,3.0
76734,Don Ford,career,6.4,1.4,3.6
76735,Jake Ford,career,4.1,1.1,0.6
1630259,Jordan Ford,career,2.0,0.3,0.3
76736,Phil Ford,career,11.6,6.4,1.8
101213,Sharrod Ford,career,1.3,0.0,1.0
726,Sherell Ford,career,3.2,0.2,0.9
2551,T.J. Ford,career,11.2,5.8,3.1
76738,Donnie Forman,career,4.1,1.7,
76739,Bayard Forrest,career,4.1,2.1,4.1
1630235,Trent Forrest,career,2.8,1.9,1.5
2218,Joseph Forte,career,1.2,0.7,0.7
202622,Courtney Fortson,career,3.5,1.0,1.5
1504,Danny Fortson,career,8.2,0.7,7.2
76740,Fred Foster,career,7.8,1.1,2.4
323,Greg Foster,career,3.9,0.5,2.6
1902,Jeff Foster,career,4.9,0.9,6.9
76742,Rod Foster,career,7.5,2.3,1.2
1630701,Michael Foster Jr.,career,0.0,0.0,0.0
2238,Antonis Fotsis,career,3.9,0.4,2.2
203095,Evan Fournier,career,13.6,2.5,2.7
76744,Larry Foust,career,13.7,1.7,9.8
